,name,rating,reviews,type,hq,old,employees
4209,RM Education Sol...,4.0,(127 Reviews),Private,Thiruvananthapuram + 7 more,20 years old,1k-5k Employees (India)
4210,Logicash,3.4,(127 Reviews),Private,"Navi Mumbai,Maharashtra + 27 more",13 years old,1k-5k Employees (Global)
4211,Novozymes South ...,4.4,(127 Reviews),Private,Bagsværd + 7 more,23 years old,501-1k Employees (India)
4212,Aspiro Pharma,3.9,(127 Reviews),Private,"Bangalore,Karnataka",11 years old,51-200 Employees (India)
4213,Ring Plus Aqua,3.8,(127 Reviews),Public,Thane + 8 more,26 years old,201-500 Employees (India)
4214,Vishvaraj Infras...,4.2,(127 Reviews),Public,"Nagpur,Maharashtra + 23 more",24 years old,201-500 Employees (India)
4215,Macmillan Publis...,4.0,(127 Reviews),Private,"Chennai,Tamil Nadu + 24 more",131 years old,201-500 Employees (India)
4216,National Aerospa...,4.5,(127 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",64 years old,1k-5k Employees (India)
4217,Madhu Jayanti In...,3.9,(127 Reviews),Public,"Kolkata,West Bengal + 21 more",81 years old,201-500 Employees (India)
4218,Triveni Turbines,4.0,(127 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 9 more",55 years old,501-1k Employees (India)
4219,Global Calcium,3.9,(127 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",53 years old,501-1k Employees (India)
4220,JK Agri Genetics,4.1,(127 Reviews),Public,Hyderabad + 35 more,34 years old,201-500 Employees (India)
4221,MoreTasks,4.5,(127 Reviews),Private,"Gurgaon/Gurugram,Haryana",7 years old,51-200 Employees (India)
4222,Dealmoney Securi...,4.0,(127 Reviews),"Thane,Maharashtra + 16 more",17 years old,501-1k Employees (India),
4223,BDR Pharmaceutic...,3.9,(127 Reviews),Private,"Mumbai,Maharashtra + 9 more",21 years old,1k-5k Employees (India)
4224,Flipspaces,4.0,(127 Reviews),Private,"Mumbai,Maharashtra + 10 more",12 years old,51-200 Employees (India)
4225,Sitel Group Indi...,4.0,(127 Reviews),Miami + 7 more,38 years old,1k-5k Employees (India),
4226,MSCI,4.0,(127 Reviews),Public,"New York City,New York + 5 more",54 years old,1k-5k Employees (India)
4227,J.M Baxi & Co,4.0,(127 Reviews),Private,"Mumbai,Maharashtra + 18 more",107 years old,1k-5k Employees (India)
4228,Adhunik Metaliks,3.7,(248 Reviews),Public,"Kolkata,West Bengal + 11 more",22 years old,501-1k Employees (India)
4229,Shantha Biotechn...,4.5,(126 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",30 years old,11-50 Employees (India)
4230,Plastic Omnium,3.7,(126 Reviews),Private,Levallois-Perret + 8 more,77 years old,201-500 Employees (India)
4231,International Ce...,3.6,(126 Reviews),Private,"Mumbai,Maharashtra + 24 more",24 years old,201-500 Employees (India)
4232,Jitm Skills,3.5,(126 Reviews),Private,"Delhi/NCR,Delhi + 27 more",10 years old,51-200 Employees (India)
4233,SPRINKLR,3.4,(126 Reviews),Private,"New York City,New York + 4 more",14 years old,201-500 Employees (India)
4234,Don Bosco Tech S...,4.0,(126 Reviews),Private,New Delhi + 40 more,17 years old,201-500 Employees (India)
4235,L&T Infrastructu...,4.0,(126 Reviews),Chennai + 11 more,201-500 Employees (India),,
4236,Taj Mahal Hotel,4.7,(126 Reviews),Private,Mumbai + 4 more,120 years old,10k-50k Employees (India)
4237,Privi Organics,4.1,(126 Reviews),Public,"Mumbai,Maharashtra + 7 more",41 years old,201-500 Employees (India)
4238,Manpasand Bevera...,3.4,(126 Reviews),Private,"Vadodara/Baroda,Gujarat + 27 more",25 years old,1k-5k Employees (India)
4239,Star Hospitals,4.2,(126 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",18 years old,51-200 Employees (India)
4240,JCT,3.9,(126 Reviews),Public,"Hoshiarpur,Punjab + 8 more",77 years old,1k-5k Employees (India)
4241,Vcare Call Cente...,2.7,(126 Reviews),Private,"Noida,Uttar Pradesh + 5 more",19 years old,201-500 Employees (India)
4242,LEAP India,3.7,(126 Reviews),Private,"Coimbatore,Tamil Nadu + 18 more",10 years old,51-200 Employees (India)
4243,Regency Hospital,4.2,(126 Reviews),Private,"Kanpur,Uttar Pradesh + 4 more",28 years old,1k-5k Employees (India)
4244,ICICI Direct,3.9,(126 Reviews),Private,Mumbai + 43 more,28 years old,201-500 Employees (India)
4245,Wellspring Healt...,3.3,(126 Reviews),Private,Mumbai + 15 more,13 years old,51-200 Employees (India)
4246,Varroc Lighting ...,3.8,(126 Reviews),Private,Plymouth + 6 more,11 years old,501-1k Employees (India)
4247,Sanghi Cement,3.6,(126 Reviews),Ahmedabad + 10 more,501-1k Employees (India),,
4248,MINISO,3.8,(126 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",10 years old,1k-5k Employees (Global)
4249,KEM Hospital,4.5,(126 Reviews),Private,Mumbai + 2 more,97 years old,51-200 Employees (India)
4250,ONPASSIVE,4.0,(126 Reviews),Orlando + 4 more,5 years old,201-500 Employees (India),
